Code produit Fournisseur;EAN;Désignation du produit (NOM COMMERCIAL); Désignation Latine; Libellé Bon de livraison; Descriptif du produit; Durée garantie; Catégorie Arborescence Internet;Slogan;Qualité livrée;Couleur;Marque;Nombre de pièces par paquet;Hauteur adulte;Les plus du produit (1);Les plus du produit (2);Les plus du produit (3);Image_principale;Image secondaire 1;Image secondaire 2;Image secondaire 3;Image secondaire 4;Image secondaire 5;Vidéo Lien youtube;Fiche PDF;Période de plantation;Période de floraison;Période de semis;Période de récolte;Période de livraison;Type de sol;Exposition;Type utilisation;Type de Livraison
8199;;Callistemon citrinus  Splendens ;;Callistemon citrinus  Splendens  C3-4l;Le Callistemon est remarquable pour ses fleurs fabuleuses, abondantes de couleur rouge sur des rameaux courbés. Elles ressemblent à des rince-bouteilles d'où l'origine de son nom français. Les fleurs plus précoces que celle du leavis sont larges, coriaces avec les étamines rassemblées autour d'un épi de 5 à 10 cm de long. Les feuilles persistantes de couleur verte et légèrement rouge sont fines et coriaces. Cet arbuste de 2.50 m de haut sur 2 m de large est utilisé dans les massifs ou en pot. Il résiste à des températures proches de -8°C/+. A la fin du mois d'Octobre, il peut être taillé. ;1 an;420;Ressemble à un "rince-bouteille";En pot de 3 litres;Rouge;;1;2.50 m;Floraison abondante et longue;;;;MAA-callistemon_citrinus_splendens.jpg;MAA-;;;;;;;03-04;03-04-05;;;;1;13;6-7;00-Depart Fournisseur
844;;Abelia grandiflora  Kaleidoscope ;;Abelia grandiflora  Kaleidoscope  C3l;L'abélia 'Kaleidoscope' est un arbuste atteignant 80 cm de haut sur 1.20 m de large. Ses feuilles persistantes sont panachées de vert et de jaune, elles se teintent d'orange au printemps puis il est jonché de pousses hivernales rouge écarlate. Les fleurs blanches ressemblent à des trompettes et dégagent un léger parfum. Il supporte des températures avoisinant les -15°C/+. Cet arbuste peut être taillé au mois de Février-Mars. ;1 an;420;Feuillage persistant très rustique !;En pot de 3 litres             ;Blanc;;1;0.80 m;Fleurs légerement parfumées;;;0.00;MAA-abelia_grandiflora_kaleidoscope.jpg;MAA-abelia_grandiflora_kaleidoscope_C3l.JPG;;;;;;;00;07-08-09-10;;;;1;13;6-7;00-Depart Fournisseur
5665;;Abelia grandiflora  Kaleidoscope ;;Abelia grandiflora  Kaleidoscope C7-10l;L'abélia 'Kaleidoscope' est un arbuste atteignant 80 cm de haut sur 1.20 m de large. Ses feuilles persistantes sont panachées de vert et de jaune, elles se teintent d'orange au printemps puis il est jonché de pousses hivernales rouge écarlate. Les fleurs blanches ressemblent à des trompettes et dégagent un léger parfum. Il supporte des températures avoisinant les -15°C/+. Cet arbuste peut être taillé au mois de Février-Mars. ;1 an;420;Feuillage persistant très rustique !;En pot de 7-10 litres.             ;Blanc;;1;0.80 m;Fleurs légerement parfumées;;;;MAA-abelia_grandiflora_kaleidoscope.jpg;MAA-;;;;;;;00;07-08-09-10;;;;1;13;6-7;00-Depart Fournisseur
4821;;Abelia grandiflora ;;Abelia grandiflora C 3l;L'Abelia grandiflora est un arbuste aux feuilles semi-persistantes dont la silhouette est dressée. Il peut faire 2.50 m de haut sur 1m à 1.50 m de large. Les feuilles sont luisantes et de couleur verte. Les fleurs blanches avec du rose sont présentes en masse, elles ressemblent à des trompettes. Il supporte des températures avoisinant les -16°C/+. Cet arbuste peut être taillé au mois de Février-Mars en cas de nécessité. ;1 an;440;Feuillage persistant très rustique !;En pot de 3 L   H. 30/40 cm           ;Blanc;;1;2.50 m;Une floraison abondante;;;;MAA-abelia_grandiflora.jpg;MAA-abelia_grandiflora_C3l.jpg;;;;;;;00;07-08-09-10;;;;1;13;6-7-8;00-Depart Fournisseur
729;;Mimosa été;;Acacia floribunda    C3-4l ;A partir de Février jusqu'au mois d avril, vous pourrez profiter de la floraison jaune du Mimosa sous forme de grappes. Les feuilles de cet arbre sont fines et de couleur verte. La silhouette retombante et la floraison sont charmantes. Cet arbre peut s'élever jusqu'à 6 m de haut sur 4 m de large. Il supporte des températures avoisinant les -10°C/+ ou -. Une fois les fleurs fanées, le Mimosa pourra être taillé et les rejets à la base pourront être retirés. ;1 an;240;Un parfum de Méditerranée !;En pot de 3-4 L.  H. 60/100 cm;Jaune;;1;6 m;Un port charmant;;;;MAA-acacia_floribunda.JPG;MAA-acacia_floribunda_C3l.JPG;;;;;;;00;;;;;1;13;7-8;00-Depart Fournisseur
7920;;Callistemon citrinus  Splendens ;;Callistemon citrinus  Splendens  C10l;Le Callistemon est remarquable pour ses fleurs fabuleuses, abondantes de couleur rouge sur des rameaux courbés. Elles ressemblent à des rince-bouteilles d'où l'origine de son nom français. Les fleurs plus précoces que celle du leavis sont larges, coriaces avec les étamines rassemblées autour d'un épi de 5 à 10 cm de long. Les feuilles persistantes de couleur verte et légèrement rouge sont fines et coriaces. Cet arbuste de 2.50 m de haut sur 2 m de large est utilisé dans les massifs ou en pot. Il résiste à des températures proches de -8°C/+. A la fin du mois d'Octobre, il peut être taillé. ;1 an;420;Ressemble à un "rince-bouteille";En pot de 10 litres;Rouge;;1;2.50 m;Floraison abondante et longue;;;;MAA-callistemon_citrinus_splendens.jpg;MAA-;;;;;;;03-04;03-04-05;;;;1;13;6-7;00-Depart Fournisseur
7402;;Caryopteris clandonensis  Grand bleu ;;Caryopteris clandon  Grand bleu  C3l;Cet arbuste à la silhouette arrondie est apprécié pour ses fleurs bleues en été. Les fleurs du Caryoptéris sont regroupées en bouquets et fleurissent sur les rameaux de l'année, de plus elles amènent les papillons dans le jardin. Le feuillage fin et légèrement denté est de couleur vert foncé. Il peut faire 80 cm de haut et de large. Il supporte des températures avoisinant les -15°C. Au cours du printemps, taillez votre Caryoptéris. ;1 an;420;Floraison bleu intense !;En pot de 3 litres;Bleu;;1;80 cm;;;;;MAA-caryopteris_grand_bleu.jpg;MAA-caryopteris_grand_bleu_C3l.jpg;;;;;;;00;06-07-08;;;;1;13;1-8;00-Depart Fournisseur
1077;;Caryopteris incana  Summer Sorbet ;;Caryopteris incana  Summer Sorbet  C3l;Cet arbuste est splendide avec ses feuilles vertes panachées de jaune doré sur les bords du limbe. Les feuilles du Caryoptéris dont la silhouette est arrondie sont ovales, crénelées et recouvertes d'un duvet au revers. Les fleurs bleues regroupées en bouquets apparaissent tard. Il atteint 1 m de haut et de large. Il supporte des températures avoisinant les -15°C. Au cours du printemps, taillez votre Caryoptéris. ;1 an;420;Très résistant au froid;En pot de 3 litres;Bleu;;1;1 m;;;;;MAA-caryoptéris_clandonensis_summer_sorbet.JPG;MAA-;;;;;;;00;06-07-08;;;;1;13;1-8;00-Depart Fournisseur
5849;;Caryopteris clandonensis  Wh Surprise ;;Caryopteris clandon  White Surprise  C3l;Cet arbuste est splendide avec ses feuilles vertes panachées d'un blanc crème sur les bords du limbe. Les feuilles du Caryoptéris dont la silhouette est arrondie sont ovales, crénelées et recouvertes d'un duvet au revers. Les fleurs bleues regroupées en bouquets apparaissent tard. Un joli contraste s'opère entre le feuillage et les fleurs bleues. Il atteint 1 m de haut et 2 m de large. Il supporte des températures avoisinant les -15°C. Au cours du printemps, taillez votre Caryoptéris. ;1 an;420;Magnifque feuillage panaché;En pot de 3 litres;Bleu;;1;1 m;;;;;MAA-caryopteris_white_surprise.JPG;MAA-;;;;;;;00;06-07-08;;;;1;13;1-8;00-Depart Fournisseur
7842;;Palmier Chamaerops humilis;;Chamaerops humilis C3-4l;Ce palmier très apprécié dans les jardins a fait preuve d'une grande résistance aux sécheresses, aux embruns et au froid. Son feuillage palmé de couleur vert foncé est retombant. Sa vitesse de croissance et sa taille en fond une plante idéale pour les petites surfaces. Il atteint donc une hauteur proche de 3 à 5 m pour un étalement de 3 m. Il résiste à des températures avoisinant des -12°C. Lors de la plantation du palmier, privilégiez un sol drainant. Afin de mettre en valeur le tronc, supprimez les feuilles âgées à la base. ;1 an;400;Rustique, il se plaira en toutes régions;En pot de 3-4 litres;Vert;;1;3 à 5 m;Très rustique;;;;MAA-chamaerops_humilis_C3l.JPG;MAA-chamaerops_humilis.JPG;;;;;;;03-04;;;;;1;13;8-10;00-Depart Fournisseur
8799;;Palmier Chamaerops humilis;;Chamaerops humilis C7l;Ce palmier très apprécié dans les jardins a fait preuve d'une grande résistance aux sécheresses, aux embruns et au froid. Son feuillage palmé de couleur vert foncé est retombant. Sa vitesse de croissance et sa taille en fond une plante idéale pour les petites surfaces. Il atteint donc une hauteur proche de 3 à 5 m pour un étalement de 3 m. Il résiste à des températures avoisinant des -12°C. Lors de la plantation du palmier, privilégiez un sol drainant. Afin de mettre en valeur le tronc, supprimez les feuilles âgées à la base. ;1 an;400;Rustique, il se plaira en toutes régions;En pot de 7 litres     H. 50/60 cm;Vert;;1;3 à 5 m;Très rustique;;;;MAA-chamaerops_humilis.JPG;MAA-;;;;;;;03-04;;;;;1;13;8-10;00-Depart Fournisseur
8832;;Palmier Chamaerops humilis;;Chamaerops humilis C13l;Ce palmier très apprécié dans les jardins a fait preuve d'une grande résistance aux sécheresses, aux embruns et au froid. Son feuillage palmé de couleur vert foncé est retombant. Sa vitesse de croissance et sa taille en fond une plante idéale pour les petites surfaces. Il atteint donc une hauteur proche de 3 à 5 m pour un étalement de 3 m. Il résiste à des températures avoisinant des -12°C. Lors de la plantation du palmier, privilégiez un sol drainant. Afin de mettre en valeur le tronc, supprimez les feuilles âgées à la base. ;1 an;400;Rustique, il se plaira en toutes régions;En pot de 13 litres   H. 60/+ cm;Vert;;1;3 à 5 m;Très rustique;;;;MAA-chamaerops_humilis_C13l.jpg;MAA-chamaerops_humilis.JPG;;;;;;;03-04;;;;;1;13;8-10;00-Depart Fournisseur
1256;;Palmier Chamaerops humilis  Vulcano ;;Chamaerops humilis  Vulcano  C7l;Le Chamaerops est apprécié dans les jardins pour sa résistance à la sécheresse, aux embruns et au froid, on pourra donc le retrouver sur le littoral. Sa vitesse de croissance et sa taille en font une plante idéale pour les petites surfaces. Ce palmier a un feuillage palmé de couleur bleue à vert très décoratif dont la silhouette est buissonnante. Il atteint 2.50 m de haut sur 2 m d'envergure. Il résiste à des températures avoisinant des -10 à -15°C. Lors de la plantation du palmier, privilégiez un sol drainant et dans un lieu à l abri des vents violents. ;1 an;400;Très résistant au froid;En pot de 7 litres     H. 30/+ cm;Vert;;1;2.50 m;Très rustique;;;;MAA-chamaerops_vulcano.jpg;MAA-chamaerops_vulcano_C7l.jpg;;;;;;;03-04;;;;;1;13;7-10;00-Depart Fournisseur
1350;;Palmier Chamaerops humilis  Vulcano ;;Chamaerops humilis  Vulcano  C15l;Le Chamaerops est apprécié dans les jardins pour sa résistance à la sécheresse, aux embruns et au froid, on pourra donc le retrouver sur le littoral. Sa vitesse de croissance et sa taille en font une plante idéale pour les petites surfaces. Ce palmier a un feuillage palmé de couleur bleue à vert très décoratif dont la silhouette est buissonnante. Il atteint 2.50 m de haut sur 2 m d'envergure. Il résiste à des températures avoisinant des -10 à -15°C. Lors de la plantation du palmier, privilégiez un sol drainant et dans un lieu à l abri des vents violents. ;1 an;400;Très résistant au froid;En pot de 15 litres  H. 40/50 cm;Vert;;1;2.50 m;Très rustique;;;;MAA-chamaerops_vulcano.jpg;MAA-chamaerops_vulcano_C20l.jpg;;;;;;;03-04;;;;;1;13;7-10;00-Depart Fournisseur
1257;;Palmier Chamaerops humilis  Vulcano ;;Chamaerops humilis  Vulcano  C30l;Le Chamaerops est apprécié dans les jardins pour sa résistance à la sécheresse, aux embruns et au froid, on pourra donc le retrouver sur le littoral. Sa vitesse de croissance et sa taille en fond une plante idéale pour les petites surfaces. Ce palmier a un feuillage palmé de couleur bleu à vert très décoratif dont la silhouette est buissonnante. Il atteint 2.50 m de haut sur 2 m d'envergure. Il résiste à des températures avoisinant des -10 à -15°C. Lors de la plantation du palmier privilégiez un sol drainant et dans un lieu à l abri des vents violents. ;1 an;400;Très résistant au froid;En pot de 30 litres H. 50/60;Vert;;1;2.50 m;Très rustique;;;;MAA-chamaerops_vulcano.jpg;MAA-;;;;;;;03-04;;;;;1;13;7-10;00-Depart Fournisseur
2945;;Convolvulus cneorum;;Convolvulus cneorum C3l;Le convolvulus est un arbuste de petit développement, 0.50 m de haut sur 0.70m de large et plus, de forme tapissante. Son feuillage de couleur argent est délicat, lancéolé et brillant. Les fleurs grosses sont de couleur blanche avec le centre jaune.  En Septembre, une fois la floraison terminée, pratiquez une taille de mise en forme sur votre arbuste. ;1 an;420;Bel arbrisseau au feuillage argenté;En pot de 3 litres;Blanc;;1;0.50 m;;;;;MAA-convolvulus_cnoerum.jpg;MAA-convolvulus_cneorum_C3l.JPG;;;;;;;03-04;05-06-07-08;;;;1;13;1-8-9-10;00-Depart Fournisseur
1096;;Cyprès de Provence  Stricta ;;Cupressus sempervirens  Stricta  C10l;Le Cyprès de Provence est caractéristique à sa silhouette érigée en forme de colonne compacte. Les rameaux érigés sont présents sur le tronc, de bas en haut. Il peut atteindre 15 m de haut. Son feuillage fin de couleur vert foncé est en forme d'écaille. Il donne des fruits, des cônes arrondis de couleur verte puis grise. Privilégiez un lieu à l abri des vents violents. Il supporte des températures avoisinant les -16°C/+. Plantez-le de préférence dans un sol drainant. Chaque année, réalisez une taille pour former le Cyprès en colonne et pour éventuellement limiter sa croissance en hauteur. ;1 an;560;Le roi des conifères;En pot de 10 litres   H. 100/125 cm;Vert;;1;15 m;Une silhouette élégante;;;;MAA-cupressus_sempervirens_stricta.JPG;MAA-;;;;;;;03-04;;;;;1;13;6-7-10;00-Depart Fournisseur
492;;Erable palmatum 'Atropurpureum';;Acer palmatum 'Atropurpureum' C3-4l;L'Erable du Japon est magnifique en automne en raison de sa silhouette  érigée et ses feuilles merveilleuses. Dans les jardins zen, il s'agit d une plante essentielle. Il peut faire 3 m de haut et de large. Son feuillage découpé en pointe et en palme est la source de son nom. Les feuilles sont d'un rouge pourpre  du printemps à  l'automne, ensuite elles deviennent d un rouge lumineux.  La samare rouge brun est le fruit de l'Acer. Il a une attirance pour un milieu acide. Une taille de mise en forme peut se pratiquer au mois de Février-Mars, abritez le des vents violents et des dernières gelées ;1 an;240;Superbe feuillage pourpre !;En pot de 3-4 L.                       ;Rouge;;1;3 m;Silhouette érigée séduisante;Feuillage rouge lumineux déco;;;MAA-acer_palmatum_atropurpureum.JPG;MAA-;;;;;;;;;;;;1;13-14-15;7-8;00-Depart Fournisseur
1760;;Mimosa été;;Acacia floribunda        C10l;A partir de Février jusqu'au mois d avril, vous pourrez profiter de la floraison jaune du Mimosa sous forme de grappes. Les feuilles de cet arbre sont fines et de couleur verte. La silhouette retombante et la floraison sont charmantes. Cet arbre peut s'élever jusqu'à 6 m de haut sur 4 m de large. Il supporte des températures avoisinant les -10°C/+ ou -. Une fois les fleurs fanées, le Mimosa pourra être taillé et les rejets à la base pourront être retirés. ;1 an;240;Un parfum de Méditerranée !;En pot de 10 L.   H. 100/150 cm;Jaune;;1;6 m;Un port charmant;;;;MAA-acacia_floribunda.JPG;MAA-;;;;;;;00;;;;;1;13;7-8;00-Depart Fournisseur
495;;Erable palmatum 'Atropurpureum';;Acer palmatum 'Atropurpureum'   C8l;L'Erable du Japon est magnifique en automne en raison de sa silhouette  érigée et ses feuilles merveilleuses. Dans les jardins zen, il s'agit d une plante essentielle. Il peut faire 3 m de haut et de large. Son feuillage découpé en pointe et en palme est la source de son nom. Les feuilles sont d'un rouge pourpre  du printemps à  l'automne, ensuite elles deviennent d un rouge lumineux.  La samare rouge brun est le fruit de l'Acer. Il a une attirance pour un milieu acide. Une taille de mise en forme peut se pratiquer au mois de Février-Mars, abritez le des vents violents et des dernières gelées ;1 an;240;Superbe feuillage pourpre !;En pot de 8 L. H.80/100 cm ;Rouge;;1;3 m;Silhouette érigée séduisante;Feuillage rouge lumineux déco;;;MAA-acer_palmatum_atropurpureum.JPG;MAA-;;;;;;;;;;;;1;13-14-15;7-8;00-Depart Fournisseur
4851;;Erable palmatum;;Acer palmatum vert C3-4l;L'Erable du Japon est magnifique en automne en raison de sa silhouette séduisante érigée et ses feuilles merveilleuses. Il orne parfaitement bien les jardins. Dans les jardins zen, il s'agit de la plante essentielle. Il peut faire 4 m de haut et de large. Son feuillage découpé en pointe et palmé est la source de son nom. Les feuilles sont vertes, à partir de l'automne, elles deviennent d'un rouge lumineux avec des touches d'orange et de jaune. Une taille de mise en forme peut se pratiquer au mois de Février-Mars et abritez le si possible des vents violents. ;1 an;240;Pour un jardin zen;En pot de 3-4 litres.  H. 60/80 cm;Rouge;;1;4 m;Silhouette érigée séduisante;Feuillage rouge. orangé déco;;;MAA-acer_palmatum_vert.jpg;MAA-acer_palmatum_vert_1.jpg;;;;;;;;;;;;1;14-15;8-9-10;00-Depart Fournisseur
1099;;Cyprès de Provence  Stricta ;;Cupressus sempervirens  Stricta  C18l;Le Cyprès de Provence est caractéristique à sa silhouette érigée en forme de colonne compacte. Les rameaux érigés sont présents sur le tronc, de bas en haut. Il peut atteindre 15 m de haut. Son feuillage fin de couleur vert foncé est en forme d'écaille. Il donne des fruits, des cônes arrondis de couleur verte puis grise. Privilégiez un lieu à l abri des vents violents. Il supporte des températures avoisinant les -16°C/+. Plantez-le de préférence dans un sol drainant. Chaque année, réalisez une taille pour former le Cyprès en colonne et pour éventuellement limiter sa croissance en hauteur. ;1 an;560;Le roi des conifères;En pot de 18 litres   H. 150/175 cm;Vert;;1;15 m;Une silhouette élégante;;;;MAA-cupressus_sempervirens_stricta.JPG;MAA-;;;;;;;03-04;;;;;1;13;6-7-10;00-Depart Fournisseur
1102;;Cyprès de Provence  Stricta ;;Cupressus sempervirens  Stricta  C12l;Le Cyprès de Provence est caractéristique à sa silhouette érigée en forme de colonne compacte. Les rameaux érigés sont présents sur le tronc, de bas en haut. Il peut atteindre 15 m de haut. Son feuillage fin de couleur vert foncé est en forme d'écaille. Il donne des fruits, des cônes arrondis de couleur verte puis grise. Privilégiez un lieu à l abri des vents violents. Il supporte des températures avoisinant les -16°C/+. Plantez-le de préférence dans un sol drainant. Chaque année, réalisez une taille pour former le Cyprès en colonne et pour éventuellement limiter sa croissance en hauteur. ;1 an;560;Le roi des conifères;En pot de 12 litres  H. 125/150 cm;Vert;;1;15 m;Une silhouette élégante;;;;MAA-cupressus_sempervirens_stricta_125-150.JPG;MAA-cupressus_sempervirens_stricta.JPG;;;;;;;03-04;;;;;1;13;6-7-10;00-Depart Fournisseur
